age,study_hours,attendance,previous_score,assignment_score,midterm_score,sleep_hours,extracurricular,final_score
22,6,73,50,71,61,7,1,72.6
23,3,81,45,82,70,8,0,66.1
22,5,75,82,60,100,6,1,76.7
22,2,77,61,63,61,6,0,59.1
18,6,79,64,65,57,9,0,64.1
22,3,70,42,42,59,8,1,55.1
24,2,84,60,86,96,6,0,67.1
20,6,100,70,91,20,6,1,67.7
22,5,57,84,61,51,6,1,69.9
18,4,82,58,78,100,7,0,76.4
20,8,69,95,68,78,7,1,76.9
21,4,85,60,77,49,9,1,72.1
25,5,79,60,62,67,7,1,68.4
19,6,87,93,58,69,7,0,74.5
20,4,92,73,89,82,4,0,78.5
21,6,80,62,71,99,6,1,77.7
25,4,92,68,100,75,8,1,74.7
24,4,50,90,73,59,7,1,77.4
18,8,97,92,57,81,4,1,82.7
19,3,83,58,92,56,7,1,67.6
24,1,91,69,82,50,9,0,63.6
18,8,63,71,84,38,4,1,73.8
24,10,68,55,91,41,9,0,72.3
20,4,80,69,62,53,4,0,54.2
25,1,78,70,70,48,8,1,58.5
20,4,81,87,69,73,6,0,78.9
21,4,91,88,51,48,4,0,67.7
23,5,57,65,68,20,7,1,55.8
19,3,90,67,93,50,8,1,77.1
22,6,78,80,76,60,7,1,78.8
22,6,76,61,50,58,7,1,64.7
24,2,60,79,47,94,6,0,64.4
25,6,84,69,99,58,4,1,76.1
23,9,50,55,71,83,7,0,70.1
21,5,86,56,62,68,9,0,69.4
21,4,60,92,68,67,8,0,72.8
21,5,79,68,48,54,4,0,52.7
24,6,77,95,95,67,4,1,79.7
20,2,92,62,66,55,5,0,58.7
19,5,76,74,94,71,4,1,79.3
20,4,70,99,73,64,7,0,65.4
18,9,72,54,95,52,7,0,72.7
18,5,93,42,76,85,4,1,67.9
18,8,84,89,86,75,8,1,92.4
24,3,73,58,84,60,7,1,65.7
23,6,75,70,82,70,6,0,81.7
23,6,59,61,78,67,6,0,70.8
21,3,83,74,68,53,4,1,61.7
23,5,57,56,100,69,6,1,71.6
19,7,87,67,57,57,7,0,68.6
25,4,80,77,72,52,7,1,72.9
22,2,100,55,72,40,7,1,55.0
25,5,65,59,78,62,7,1,64.2
19,3,77,65,65,78,6,0,68.2
21,4,100,49,77,56,7,1,73.2
23,5,92,64,69,100,8,0,69.4
21,2,70,72,47,83,6,1,70.3
21,2,81,64,72,90,7,0,69.0
19,6,78,66,54,82,6,0,62.3
21,4,81,70,44,99,6,0,56.9
19,1,70,60,74,55,7,1,52.5
20,7,77,80,80,24,6,1,68.8
23,6,59,92,80,60,7,1,75.7
23,4,80,63,81,77,7,1,75.9
22,2,83,77,41,71,6,1,61.0
20,7,75,66,50,73,6,1,65.9
25,6,59,75,100,90,6,0,78.1
18,10,90,93,55,74,4,1,83.8
20,6,82,78,82,82,7,0,81.1
18,6,69,43,61,52,7,0,56.5
20,5,75,77,73,49,8,0,73.2
25,7,60,88,62,95,6,0,76.2
20,6,66,67,81,70,9,1,72.0
25,8,72,85,74,57,6,1,74.8
21,4,93,60,65,57,5,0,68.4
23,4,70,48,55,57,5,1,56.6
21,4,86,72,76,56,4,0,62.8
20,7,72,44,53,46,9,0,65.9
24,8,81,66,79,42,8,0,82.2
25,4,76,89,100,65,7,0,78.4
20,4,88,41,94,58,5,0,69.7
24,6,72,51,83,87,9,0,80.6
20,5,59,55,71,73,6,0,62.1
23,7,61,69,41,73,6,0,66.5
24,1,72,65,51,55,9,1,52.9
21,3,63,91,93,66,7,0,72.2
23,3,83,84,59,74,9,0,69.4
20,1,72,77,61,80,7,1,64.8
18,3,100,72,69,66,6,0,65.8
18,3,57,76,55,86,6,1,65.7
21,5,80,57,52,68,4,0,64.3
25,7,64,83,71,81,6,1,78.0
19,5,72,53,58,60,8,1,56.2
21,3,80,83,60,37,7,1,59.7
23,5,50,88,60,73,7,1,64.4
19,7,81,73,80,80,5,0,78.9
23,3,100,67,68,78,7,0,73.8
20,3,73,76,69,75,8,0,71.1
24,6,81,40,82,62,7,1,65.1
22,5,90,75,70,54,7,0,71.6
22,6,76,68,68,77,5,0,69.2
19,5,71,69,80,75,8,1,70.1
21,6,51,81,83,58,4,0,71.3
24,3,86,69,70,87,7,0,75.9
18,5,77,53,73,53,9,1,71.8
24,5,66,68,59,58,4,0,58.5
21,3,80,71,58,96,6,1,77.4
23,2,71,72,84,83,6,1,68.7
23,6,72,72,79,62,6,1,75.7
21,4,85,86,79,73,8,0,74.9
20,3,62,54,76,71,7,0,61.9
23,5,91,73,73,21,7,1,54.1
19,7,61,89,83,53,8,1,76.1
22,1,70,44,87,67,7,1,61.3
18,2,100,73,87,62,9,0,71.1
23,3,92,61,70,72,7,0,76.0
23,8,79,64,94,87,7,0,78.2
18,6,67,56,76,63,4,0,62.2
24,7,72,67,82,50,6,0,65.8
21,3,79,98,77,74,8,1,75.9
24,3,78,51,76,62,5,0,65.3
18,6,77,52,60,65,4,1,71.0
19,5,78,50,83,63,7,1,65.8
21,6,75,96,100,100,8,0,87.9
19,5,61,63,66,30,7,1,53.8
20,6,72,70,73,61,6,1,76.9
23,5,89,64,65,68,4,0,72.1
19,7,62,56,64,55,7,0,64.4
23,7,76,66,97,83,7,1,76.5
18,2,68,99,61,82,4,1,64.2
19,1,79,91,64,67,8,1,70.2
22,7,73,57,47,63,8,1,70.4
24,7,96,80,60,66,8,0,68.6
19,3,84,58,45,66,7,1,60.4
20,1,62,43,82,67,7,1,65.8
25,5,86,85,100,65,7,1,80.4
25,7,69,87,66,72,8,1,86.0
22,9,71,86,45,81,4,1,80.1
21,6,82,63,86,47,4,1,63.4
20,4,72,67,60,50,5,0,58.2
22,3,89,81,93,38,6,1,68.6
22,5,69,76,67,83,7,0,69.1
20,4,71,64,62,72,7,1,63.1
18,3,70,46,69,77,8,1,71.7
19,9,71,72,84,44,8,1,72.6
25,9,91,86,68,98,5,0,92.4
21,7,86,52,64,58,7,1,67.8
21,3,99,80,69,71,5,0,70.8
21,7,100,75,52,83,6,0,80.2
24,6,66,81,78,51,7,0,68.1
18,6,79,83,43,59,4,1,69.7
18,7,64,60,65,71,9,0,62.5
20,6,69,46,84,100,7,1,78.9
21,6,70,62,77,73,6,0,59.8
23,6,65,83,81,95,9,1,83.8
21,6,65,62,71,88,6,1,77.7
21,1,76,60,91,74,7,1,70.4
25,5,63,43,87,51,6,1,56.4
19,4,88,96,79,86,9,1,79.9
22,2,67,82,87,43,6,1,61.2
22,8,100,82,84,95,7,1,92.8
21,8,73,85,65,71,8,0,70.2
24,8,79,79,50,23,7,0,64.6
20,6,62,66,79,62,6,1,71.4
25,8,98,68,81,79,8,0,82.7
20,5,91,64,89,64,9,1,79.7
22,5,82,99,57,80,7,1,80.4
22,3,62,78,57,54,7,0,58.6
24,6,81,63,79,46,7,1,60.9
21,5,65,77,71,67,8,1,73.3
20,2,96,55,42,69,6,1,56.1
18,5,88,93,78,62,6,1,75.2
20,5,79,60,42,89,4,1,68.8
24,9,50,78,57,54,5,1,75.9
18,7,66,86,94,73,6,1,81.7
25,5,86,76,100,69,6,0,80.3
22,5,93,71,53,42,9,1,61.3
19,5,91,70,67,46,7,1,69.8
20,5,59,69,73,68,5,0,65.9
22,3,82,61,100,100,5,0,81.7
20,5,90,63,64,78,8,1,72.1
18,4,58,92,64,39,8,0,63.2
23,2,78,68,97,20,7,1,65.4
23,6,81,58,66,80,6,0,70.8
18,6,74,62,84,66,8,0,68.2
20,1,56,87,48,87,5,1,75.1
19,5,74,80,69,53,7,0,63.9
23,7,74,78,45,74,9,0,73.9
23,7,76,66,55,82,7,1,76.5
23,7,71,79,85,60,5,1,76.8
25,5,73,60,71,61,7,0,65.5
24,3,78,66,67,68,6,1,65.3
20,3,83,85,60,77,5,1,69.7
18,6,74,83,68,68,7,1,70.8
22,6,73,55,77,85,8,0,84.1
25,8,79,57,88,60,6,0,72.8
25,7,55,72,30,45,6,1,62.2
19,5,84,96,59,100,5,1,80.3
19,3,78,41,75,58,6,0,56.8
18,4,78,74,70,58,6,1,66.0
19,5,90,49,78,67,5,0,60.1
22,5,55,60,76,69,9,1,69.1
22,4,54,65,67,61,7,1,61.7
20,6,81,64,64,68,7,1,77.3
20,4,78,62,68,67,8,1,63.6
24,4,80,70,90,71,8,0,71.8
21,6,72,62,60,28,6,1,55.7
24,4,86,48,71,100,7,0,78.9
25,5,89,82,75,65,6,1,71.8
20,6,84,81,97,78,7,1,86.9
19,3,75,83,67,45,7,0,68.2
25,4,53,47,87,60,6,0,59.7
23,8,87,74,92,57,5,0,71.6
20,3,93,80,71,93,7,0,71.1
22,1,86,55,69,58,6,0,61.8
22,1,67,70,67,81,4,1,57.0
25,5,86,68,68,57,7,1,71.9
20,5,88,98,86,60,8,1,82.5
25,5,97,99,76,64,9,1,85.3
25,7,67,45,76,90,6,1,75.7
19,1,75,99,54,36,6,0,54.3
19,6,87,56,57,46,5,1,58.7
22,8,79,85,100,35,7,1,82.4
18,3,65,85,69,50,7,1,62.9
20,4,83,55,60,54,5,1,48.6
21,3,85,77,95,41,6,1,71.6
25,3,79,68,77,56,4,1,59.2
25,4,81,78,81,34,8,1,70.2
19,8,75,73,70,51,5,0,76.8
25,9,96,88,67,88,6,1,89.0
18,4,67,71,69,75,5,0,71.3
23,9,71,67,50,71,6,0,72.9
24,5,78,86,71,51,6,1,78.3
25,9,89,79,77,42,6,0,71.3
19,5,60,81,100,49,7,1,73.1
25,5,62,60,73,67,9,0,71.4
18,6,54,54,35,83,8,1,64.0
22,10,78,61,70,83,8,0,87.2
21,7,65,61,100,79,9,1,79.7
20,4,73,82,86,55,7,0,80.1
18,7,86,85,59,68,6,0,85.3
24,4,70,68,81,63,8,0,70.4
20,4,81,91,60,65,8,1,76.5
23,7,74,91,50,100,7,1,88.6
21,5,86,74,66,38,4,1,58.6
20,6,84,58,73,64,5,0,62.5
25,5,70,94,42,89,6,0,79.0
18,6,76,69,54,43,8,0,65.8
23,6,91,72,72,57,6,1,72.3
23,1,83,65,65,59,8,1,62.8
21,6,61,57,78,64,8,0,57.9
20,3,86,48,53,41,8,1,56.1
18,2,65,79,83,78,8,1,68.9
25,5,95,58,53,79,5,0,72.1
25,5,90,99,98,77,7,0,90.3
19,4,81,54,45,53,6,0,59.6
18,7,80,51,55,69,4,0,66.7
18,2,75,78,79,53,6,0,57.2
18,4,86,93,99,62,8,1,84.2
24,4,74,71,77,100,7,0,79.6
25,5,81,79,81,70,9,1,84.6
19,6,88,42,72,48,7,1,74.8
23,3,71,60,56,71,9,1,57.8
19,6,71,54,64,45,7,1,61.5
20,5,64,42,53,48,7,0,51.6
22,1,65,72,52,50,5,0,53.5
23,1,56,40,78,60,8,0,54.3
24,5,87,50,54,84,6,1,67.7
18,5,100,62,77,78,6,1,80.8
19,5,95,58,51,77,8,0,65.2
20,5,58,76,77,49,8,0,62.4
20,5,87,75,64,59,8,1,67.9
25,7,95,83,95,73,6,0,82.6
24,3,73,81,77,57,6,1,62.5
20,3,79,87,92,63,6,0,72.6
25,3,54,70,60,76,8,0,63.7
21,6,81,75,73,62,9,0,71.7
22,7,65,78,56,72,7,0,76.4
21,4,80,72,65,95,9,0,76.4
19,1,59,64,68,65,8,1,65.6
25,2,85,65,60,88,6,0,65.9
18,3,90,58,53,78,8,1,67.8
19,4,69,76,49,43,9,0,59.0
19,4,64,69,35,49,9,0,58.0
20,5,52,60,55,54,8,0,63.0
19,4,75,60,82,53,7,0,63.2
18,7,71,52,46,66,6,0,65.8
23,4,59,85,50,78,7,0,64.3
25,3,83,71,100,89,9,1,85.0
18,6,73,57,62,73,7,1,67.4
20,2,65,82,77,60,7,1,70.8
22,6,71,62,82,33,7,0,64.4
25,5,91,49,83,69,6,1,77.9
23,5,85,85,48,68,6,1,66.4
24,8,76,62,68,71,7,0,67.7
22,4,85,64,46,100,9,0,70.5
21,9,64,71,100,89,6,1,80.3
19,5,78,87,46,81,7,1,68.2
24,2,80,70,55,52,5,0,60.1
24,5,72,52,55,59,8,0,62.1
18,3,83,78,48,66,8,1,65.5
23,3,69,63,94,55,9,0,65.9
18,6,84,98,100,77,7,1,85.7
23,6,85,70,64,74,7,1,82.7
24,4,50,40,51,49,6,1,47.7
19,7,92,75,36,88,7,1,71.3
21,7,50,99,68,70,7,0,80.1
18,8,71,94,67,39,7,1,73.9
22,6,90,97,62,67,7,1,89.2
25,8,74,55,76,73,7,1,73.5
18,1,60,84,78,85,6,0,71.8
21,4,65,59,77,62,6,0,68.3
25,3,90,73,67,82,9,0,71.7
20,5,55,51,54,71,9,0,59.5
19,4,92,60,83,46,5,1,69.1
21,5,77,60,72,44,5,1,65.5
22,9,64,83,86,87,5,1,78.8
23,5,71,82,85,88,6,1,74.8
20,6,66,74,49,73,8,0,58.4
25,5,88,50,49,93,7,0,72.2
22,5,87,65,60,86,7,0,71.9
20,5,57,59,55,80,7,0,64.3
25,6,73,83,84,53,6,0,65.2
25,7,68,88,78,97,6,0,78.6
21,8,94,86,90,77,6,0,84.4
18,6,62,59,78,61,4,1,63.0
22,6,97,40,75,57,5,0,65.7
22,3,78,43,91,72,5,0,66.4
19,5,64,91,80,40,8,0,80.0
23,7,70,64,73,80,7,1,76.3
24,7,68,59,96,52,7,1,78.0
18,5,63,95,74,74,4,0,69.2
23,7,79,89,67,59,4,0,65.5
19,6,63,70,59,64,7,1,67.3
23,7,52,66,83,55,4,1,60.3
21,6,73,68,92,65,8,1,77.1
18,4,56,73,71,100,4,1,68.4
25,6,69,94,93,92,8,1,79.5
19,1,67,76,40,74,5,1,66.4
22,6,68,81,71,68,8,0,72.1
19,1,100,88,71,82,9,1,70.1
25,2,79,52,60,87,4,0,64.9
23,6,81,81,100,54,7,1,75.9
24,6,57,66,71,67,4,0,70.3
21,3,70,40,65,37,7,0,48.2
21,4,81,40,72,87,6,1,65.3
23,8,66,55,40,100,7,1,75.7
24,4,89,78,60,69,5,0,71.4
24,9,64,72,88,32,8,1,77.5
18,5,75,73,62,78,4,0,68.2
23,6,71,99,59,53,8,0,75.9
18,8,80,51,93,57,6,1,77.8
20,5,70,70,93,79,5,0,74.9
24,3,75,75,80,72,9,0,71.7
20,5,75,59,65,60,6,1,59.1
24,5,69,70,68,57,9,0,71.2
21,2,84,46,59,70,8,0,60.5
19,4,81,91,56,61,5,0,66.0
20,4,77,60,55,49,6,1,65.9
22,7,73,99,62,62,7,0,70.7
24,5,88,70,55,74,9,0,80.2
22,4,75,85,47,65,7,1,68.3
25,5,74,69,76,44,7,0,67.1
24,5,79,70,76,85,6,0,72.9
24,6,98,61,99,21,6,1,61.4
22,3,62,72,61,60,8,1,63.6
20,3,87,75,77,57,7,0,69.9
21,7,55,58,77,71,6,1,73.6
18,4,81,68,68,78,6,1,70.3
20,2,97,61,84,87,6,0,62.0
25,6,84,99,84,56,5,1,72.2
21,6,80,69,77,78,5,1,84.7
18,2,71,93,68,71,9,1,68.2
23,5,78,67,66,39,6,1,69.8
25,6,75,74,50,100,7,1,73.6
24,6,69,50,59,44,4,1,57.1
20,6,75,63,62,75,7,1,74.9
21,2,80,73,54,75,6,1,61.7
22,6,69,94,79,73,6,1,86.8
19,4,68,73,91,60,7,1,71.9
20,4,62,91,57,82,6,1,74.4
19,7,83,80,77,41,4,0,68.3
25,8,85,94,55,67,8,0,83.4
23,9,81,69,67,58,7,1,84.0
24,8,90,99,61,56,6,0,78.4
24,5,79,63,82,75,5,1,80.3
25,6,83,59,61,86,4,1,68.9
18,7,82,52,88,62,7,1,77.8
25,5,77,99,68,81,9,0,83.6
18,5,72,82,62,69,7,1,67.9
21,7,100,65,52,53,5,0,68.9
22,5,73,89,76,64,7,1,75.8
20,4,70,80,86,63,6,0,66.8
19,4,83,99,76,56,8,1,78.5
19,6,81,47,100,75,7,1,76.9
24,5,61,66,95,72,4,1,70.8
20,6,91,63,67,41,7,1,67.6
20,6,77,40,67,40,5,0,56.6
25,4,65,86,80,75,5,0,70.1
19,7,92,66,59,54,6,0,70.0
25,6,86,81,91,73,7,1,79.6
25,3,63,99,78,81,4,1,85.9
22,8,99,65,76,46,7,0,68.0
19,4,86,64,83,44,8,0,64.2
19,2,78,72,100,96,7,0,75.0
20,3,97,85,75,74,5,1,84.1
22,3,80,61,70,61,5,0,55.9
19,5,78,61,96,52,8,0,72.8
21,4,70,86,87,59,4,0,70.4
18,4,85,76,67,48,8,0,68.8
22,6,84,40,72,83,6,0,75.0
18,6,78,52,75,55,6,0,71.0
23,6,69,93,78,87,4,1,78.3
18,6,80,76,50,61,6,1,70.3
19,6,77,59,47,50,7,0,53.4
19,1,62,67,58,61,5,1,56.6
24,4,60,70,57,23,7,0,50.3
18,1,85,81,62,66,7,1,65.7
21,5,50,50,82,65,6,1,56.5
22,5,80,57,69,82,8,0,73.8
22,7,72,74,75,36,4,1,59.0
23,7,94,69,52,88,7,1,79.8
24,5,72,79,65,82,9,1,71.9
21,4,86,52,81,89,9,0,70.9
24,6,73,75,82,67,7,0,79.9
20,4,79,86,60,85,6,0,76.1
25,5,87,77,75,43,6,1,74.6
22,7,72,72,100,80,6,1,89.4
23,4,90,69,72,55,7,0,64.5
25,7,66,57,61,40,5,1,68.1
24,6,82,69,69,49,8,0,62.9
24,3,89,89,73,68,9,0,78.8
22,7,86,68,70,54,6,1,70.2
18,6,100,57,71,74,5,1,69.7
21,5,69,63,49,37,5,1,59.4
19,3,61,73,57,32,8,1,61.7
25,3,66,64,70,91,6,1,73.6
19,4,86,77,69,83,8,1,78.2
19,6,84,78,63,50,6,0,69.5
19,3,79,83,69,68,8,1,74.8
23,6,65,91,73,85,6,1,81.3
22,3,87,85,86,75,5,0,76.6
25,5,63,56,70,71,6,0,65.9
21,5,92,56,78,87,5,0,77.1
20,10,100,69,63,56,9,0,73.5
18,2,82,63,81,69,6,1,66.4
18,8,85,53,78,68,7,0,68.6
20,5,72,63,86,63,6,1,71.7
25,6,56,63,83,61,5,0,73.8
22,5,71,60,81,69,6,0,66.5
25,6,65,65,70,69,8,0,71.2
18,5,61,88,76,50,6,0,71.6
18,8,99,73,89,82,5,1,76.6
24,4,81,99,62,51,7,0,68.2
18,7,83,73,62,64,7,0,75.0
18,4,74,66,75,63,9,0,56.1
21,5,76,70,79,74,7,0,68.9
25,3,90,74,59,32,7,1,66.3
23,6,78,77,71,83,8,1,84.5
18,8,84,99,70,56,5,0,80.4
24,5,76,57,37,89,5,1,69.6
24,5,74,83,68,60,5,0,69.8
24,3,61,73,69,67,5,1,66.8
25,5,54,46,69,100,8,1,69.7
19,2,75,82,95,63,7,0,71.4
25,3,79,89,53,89,7,1,71.6
20,5,63,57,59,69,4,1,68.0
24,8,78,70,30,75,9,0,79.2
22,10,79,44,64,69,5,1,78.9
24,4,52,51,66,82,9,1,64.8
23,8,67,86,64,56,4,0,66.9
23,5,83,63,90,51,5,1,75.0
22,5,83,53,86,57,4,1,69.1
24,6,64,73,73,70,7,1,75.0
23,5,80,62,66,64,5,1,64.2
19,5,90,63,88,80,5,1,78.2
24,4,87,81,72,90,5,1,72.4
22,2,77,53,59,51,8,1,61.0
20,2,72,56,45,56,7,0,60.3
22,6,70,72,65,44,9,0,74.9
25,4,84,85,84,100,6,1,86.3
24,4,80,89,100,73,7,1,75.1
24,5,86,60,73,76,5,0,70.8
21,7,80,84,60,45,6,1,80.9
24,5,88,58,53,68,6,1,63.1
21,4,79,97,81,77,7,1,80.1
23,7,87,53,44,64,8,0,73.7
23,8,88,90,81,86,8,1,93.2
19,6,68,60,85,100,5,0,87.7
20,7,56,99,79,52,8,0,73.1
18,7,97,79,68,51,6,1,71.0
19,7,81,55,81,53,6,1,76.1
21,6,57,62,75,95,6,0,68.0
21,6,69,82,60,86,6,1,75.5
19,6,87,86,100,66,9,1,85.5
21,3,75,69,66,69,7,0,70.6
22,6,72,71,84,54,7,0,74.0
19,2,95,81,33,83,6,1,69.4
20,3,65,72,92,62,9,1,69.9
20,8,68,51,96,64,8,0,80.6
22,7,81,58,72,78,5,1,92.2
20,8,83,74,81,65,6,1,82.6
23,4,84,88,81,64,6,1,75.8
20,3,89,94,62,68,7,1,68.2
21,5,80,82,81,82,6,0,74.8
21,5,84,74,59,96,7,0,75.7
19,5,75,81,62,78,9,0,73.0
23,7,79,60,90,82,5,1,78.3
19,4,79,68,88,65,5,1,78.7
20,6,81,58,61,56,6,1,72.1
24,3,87,51,60,79,6,0,63.1
25,6,85,75,62,71,9,1,71.9
23,5,79,73,84,44,8,0,75.7
25,4,68,80,56,62,8,0,66.5
24,5,79,78,78,67,6,0,65.0
21,5,78,74,84,59,6,1,75.8
24,4,80,78,71,93,4,0,78.2
20,9,100,69,88,76,8,1,77.5
21,5,72,76,67,91,7,1,73.4
22,5,83,59,69,72,8,1,71.7
25,1,91,76,56,69,6,0,66.7
24,3,79,80,88,52,6,1,67.3
21,4,100,60,60,68,7,1,65.9
23,4,73,71,78,68,8,0,74.0
19,8,82,61,71,45,4,1,66.2
24,5,68,62,55,59,8,1,67.7
22,8,74,53,62,63,6,0,63.2
22,5,81,89,94,75,5,1,74.6
24,5,88,86,75,76,4,0,78.7
23,5,82,78,56,58,6,0,68.4
18,5,93,99,77,76,9,1,90.0
20,8,77,67,70,65,9,0,74.2
19,1,74,99,100,20,7,0,60.5
23,1,100,67,77,60,9,0,73.7
18,4,83,74,66,86,6,0,65.9
19,5,69,64,95,39,8,0,72.7
22,6,70,76,43,70,6,1,74.6
23,6,67,83,74,95,6,0,83.2
22,4,89,68,100,55,6,0,68.5
24,7,74,97,70,68,4,1,74.4
25,7,80,74,44,46,8,1,67.5
19,5,77,74,66,96,6,0,70.0
25,7,87,56,95,67,5,0,70.5
22,6,68,76,78,69,5,0,74.8
23,4,65,68,59,91,6,0,71.5
18,6,81,61,61,79,9,0,69.0
22,5,85,58,63,53,9,1,71.1
23,5,82,99,78,57,4,1,77.2
22,8,68,66,93,76,6,0,85.4
