id,age,study_hours,attendance,previous_score,assignment_score,midterm_score,sleep_hours,extracurricular,final_score
125,24,6,94,57,85,71,5,1,70.5
126,22,7,84,55,46,50,6,1,58.7
127,18,6,80,67,95,90,7,0,90.3
128,24,2,75,82,85,49,7,0,61.7
129,22,6,73,50,71,61,7,1,72.6
130,23,3,81,45,82,70,8,0,66.1
131,22,5,75,82,60,100,6,1,76.7
132,22,2,77,61,63,61,6,0,59.1
133,18,6,79,64,65,57,9,0,64.1
134,22,3,70,42,42,59,8,1,55.1
135,24,2,84,60,86,96,6,0,67.1
136,20,6,100,70,91,20,6,1,67.7
137,22,5,57,84,61,51,6,1,69.9
138,18,4,82,58,78,100,7,0,76.4
139,20,8,69,95,68,78,7,1,76.9
140,21,4,85,60,77,49,9,1,72.1
141,25,5,79,60,62,67,7,1,68.4
142,19,6,87,93,58,69,7,0,74.5
143,20,4,92,73,89,82,4,0,78.5
144,21,6,80,62,71,99,6,1,77.7
145,25,4,92,68,100,75,8,1,74.7
146,24,4,50,90,73,59,7,1,77.4
147,18,8,97,92,57,81,4,1,82.7
148,19,3,83,58,92,56,7,1,67.6
149,24,1,91,69,82,50,9,0,63.6
150,18,8,63,71,84,38,4,1,73.8
151,24,10,68,55,91,41,9,0,72.3
152,20,4,80,69,62,53,4,0,54.2
153,25,1,78,70,70,48,8,1,58.5
154,20,4,81,87,69,73,6,0,78.9
155,21,4,91,88,51,48,4,0,67.7
156,23,5,57,65,68,20,7,1,55.8
157,19,3,90,67,93,50,8,1,77.1
158,22,6,78,80,76,60,7,1,78.8
159,22,6,76,61,50,58,7,1,64.7
160,24,2,60,79,47,94,6,0,64.4
161,25,6,84,69,99,58,4,1,76.1
162,23,9,50,55,71,83,7,0,70.1
163,21,5,86,56,62,68,9,0,69.4
164,21,4,60,92,68,67,8,0,72.8
165,21,5,79,68,48,54,4,0,52.7
166,24,6,77,95,95,67,4,1,79.7
167,20,2,92,62,66,55,5,0,58.7
168,19,5,76,74,94,71,4,1,79.3
169,20,4,70,99,73,64,7,0,65.4
170,18,9,72,54,95,52,7,0,72.7
171,18,5,93,42,76,85,4,1,67.9
172,18,8,84,89,86,75,8,1,92.4
173,24,3,73,58,84,60,7,1,65.7
174,23,6,75,70,82,70,6,0,81.7
175,23,6,59,61,78,67,6,0,70.8
176,21,3,83,74,68,53,4,1,61.7
177,23,5,57,56,100,69,6,1,71.6
178,19,7,87,67,57,57,7,0,68.6
179,25,4,80,77,72,52,7,1,72.9
180,22,2,100,55,72,40,7,1,55.0
181,25,5,65,59,78,62,7,1,64.2
182,19,3,77,65,65,78,6,0,68.2
183,21,4,100,49,77,56,7,1,73.2
184,23,5,92,64,69,100,8,0,69.4
185,21,2,70,72,47,83,6,1,70.3
186,21,2,81,64,72,90,7,0,69.0
187,19,6,78,66,54,82,6,0,62.3
188,21,4,81,70,44,99,6,0,56.9
189,19,1,70,60,74,55,7,1,52.5
190,20,7,77,80,80,24,6,1,68.8
191,23,6,59,92,80,60,7,1,75.7
192,23,4,80,63,81,77,7,1,75.9
193,22,2,83,77,41,71,6,1,61.0
194,20,7,75,66,50,73,6,1,65.9
195,25,6,59,75,100,90,6,0,78.1
196,18,10,90,93,55,74,4,1,83.8
197,20,6,82,78,82,82,7,0,81.1
198,18,6,69,43,61,52,7,0,56.5
199,20,5,75,77,73,49,8,0,73.2
200,25,7,60,88,62,95,6,0,76.2
201,20,6,66,67,81,70,9,1,72.0
202,25,8,72,85,74,57,6,1,74.8
203,21,4,93,60,65,57,5,0,68.4
204,23,4,70,48,55,57,5,1,56.6
205,21,4,86,72,76,56,4,0,62.8
206,20,7,72,44,53,46,9,0,65.9
207,24,8,81,66,79,42,8,0,82.2
208,25,4,76,89,100,65,7,0,78.4
209,20,4,88,41,94,58,5,0,69.7
210,24,6,72,51,83,87,9,0,80.6
211,20,5,59,55,71,73,6,0,62.1
212,23,7,61,69,41,73,6,0,66.5
213,24,1,72,65,51,55,9,1,52.9
214,21,3,63,91,93,66,7,0,72.2
215,23,3,83,84,59,74,9,0,69.4
216,20,1,72,77,61,80,7,1,64.8
217,18,3,100,72,69,66,6,0,65.8
218,18,3,57,76,55,86,6,1,65.7
219,21,5,80,57,52,68,4,0,64.3
220,25,7,64,83,71,81,6,1,78.0
221,19,5,72,53,58,60,8,1,56.2
222,21,3,80,83,60,37,7,1,59.7
223,23,5,50,88,60,73,7,1,64.4
224,19,7,81,73,80,80,5,0,78.9
225,23,3,100,67,68,78,7,0,73.8
226,20,3,73,76,69,75,8,0,71.1
227,24,6,81,40,82,62,7,1,65.1
228,22,5,90,75,70,54,7,0,71.6
229,22,6,76,68,68,77,5,0,69.2
230,19,5,71,69,80,75,8,1,70.1
231,21,6,51,81,83,58,4,0,71.3
232,24,3,86,69,70,87,7,0,75.9
233,18,5,77,53,73,53,9,1,71.8
234,24,5,66,68,59,58,4,0,58.5
235,21,3,80,71,58,96,6,1,77.4
236,23,2,71,72,84,83,6,1,68.7
237,23,6,72,72,79,62,6,1,75.7
238,21,4,85,86,79,73,8,0,74.9
239,20,3,62,54,76,71,7,0,61.9
240,23,5,91,73,73,21,7,1,54.1
241,19,7,61,89,83,53,8,1,76.1
242,22,1,70,44,87,67,7,1,61.3
243,18,2,100,73,87,62,9,0,71.1
244,23,3,92,61,70,72,7,0,76.0
245,23,8,79,64,94,87,7,0,78.2
246,18,6,67,56,76,63,4,0,62.2
247,24,7,72,67,82,50,6,0,65.8
248,21,3,79,98,77,74,8,1,75.9
249,24,3,78,51,76,62,5,0,65.3
250,18,6,77,52,60,65,4,1,71.0
251,19,5,78,50,83,63,7,1,65.8
252,21,6,75,96,100,100,8,0,87.9
253,19,5,61,63,66,30,7,1,53.8
254,20,6,72,70,73,61,6,1,76.9
255,23,5,89,64,65,68,4,0,72.1
256,19,7,62,56,64,55,7,0,64.4
257,23,7,76,66,97,83,7,1,76.5
258,18,2,68,99,61,82,4,1,64.2
259,19,1,79,91,64,67,8,1,70.2
260,22,7,73,57,47,63,8,1,70.4
261,24,7,96,80,60,66,8,0,68.6
262,19,3,84,58,45,66,7,1,60.4
263,20,1,62,43,82,67,7,1,65.8
264,25,5,86,85,100,65,7,1,80.4
265,25,7,69,87,66,72,8,1,86.0
266,22,9,71,86,45,81,4,1,80.1
267,21,6,82,63,86,47,4,1,63.4
268,20,4,72,67,60,50,5,0,58.2
269,22,3,89,81,93,38,6,1,68.6
270,22,5,69,76,67,83,7,0,69.1
271,20,4,71,64,62,72,7,1,63.1
272,18,3,70,46,69,77,8,1,71.7
273,19,9,71,72,84,44,8,1,72.6
274,25,9,91,86,68,98,5,0,92.4
275,21,7,86,52,64,58,7,1,67.8
276,21,3,99,80,69,71,5,0,70.8
277,21,7,100,75,52,83,6,0,80.2
278,24,6,66,81,78,51,7,0,68.1
279,18,6,79,83,43,59,4,1,69.7
280,18,7,64,60,65,71,9,0,62.5
281,20,6,69,46,84,100,7,1,78.9
282,21,6,70,62,77,73,6,0,59.8
283,23,6,65,83,81,95,9,1,83.8
284,21,6,65,62,71,88,6,1,77.7
285,21,1,76,60,91,74,7,1,70.4
286,25,5,63,43,87,51,6,1,56.4
287,19,4,88,96,79,86,9,1,79.9
288,22,2,67,82,87,43,6,1,61.2
289,22,8,100,82,84,95,7,1,92.8
290,21,8,73,85,65,71,8,0,70.2
291,24,8,79,79,50,23,7,0,64.6
292,20,6,62,66,79,62,6,1,71.4
293,25,8,98,68,81,79,8,0,82.7
294,20,5,91,64,89,64,9,1,79.7
295,22,5,82,99,57,80,7,1,80.4
296,22,3,62,78,57,54,7,0,58.6
297,24,6,81,63,79,46,7,1,60.9
298,21,5,65,77,71,67,8,1,73.3
299,20,2,96,55,42,69,6,1,56.1
300,18,5,88,93,78,62,6,1,75.2
301,20,5,79,60,42,89,4,1,68.8
302,24,9,50,78,57,54,5,1,75.9
303,18,7,66,86,94,73,6,1,81.7
304,25,5,86,76,100,69,6,0,80.3
305,22,5,93,71,53,42,9,1,61.3
306,19,5,91,70,67,46,7,1,69.8
307,20,5,59,69,73,68,5,0,65.9
308,22,3,82,61,100,100,5,0,81.7
309,20,5,90,63,64,78,8,1,72.1
310,18,4,58,92,64,39,8,0,63.2
311,23,2,78,68,97,20,7,1,65.4
312,23,6,81,58,66,80,6,0,70.8
313,18,6,74,62,84,66,8,0,68.2
314,20,1,56,87,48,87,5,1,75.1
315,19,5,74,80,69,53,7,0,63.9
316,23,7,74,78,45,74,9,0,73.9
317,23,7,76,66,55,82,7,1,76.5
318,23,7,71,79,85,60,5,1,76.8
319,25,5,73,60,71,61,7,0,65.5
320,24,3,78,66,67,68,6,1,65.3
321,20,3,83,85,60,77,5,1,69.7
322,18,6,74,83,68,68,7,1,70.8
323,22,6,73,55,77,85,8,0,84.1
324,25,8,79,57,88,60,6,0,72.8
325,25,7,55,72,30,45,6,1,62.2
326,19,5,84,96,59,100,5,1,80.3
327,19,3,78,41,75,58,6,0,56.8
328,18,4,78,74,70,58,6,1,66.0
329,19,5,90,49,78,67,5,0,60.1
330,22,5,55,60,76,69,9,1,69.1
331,22,4,54,65,67,61,7,1,61.7
332,20,6,81,64,64,68,7,1,77.3
333,20,4,78,62,68,67,8,1,63.6
334,24,4,80,70,90,71,8,0,71.8
335,21,6,72,62,60,28,6,1,55.7
336,24,4,86,48,71,100,7,0,78.9
337,25,5,89,82,75,65,6,1,71.8
338,20,6,84,81,97,78,7,1,86.9
339,19,3,75,83,67,45,7,0,68.2
340,25,4,53,47,87,60,6,0,59.7
341,23,8,87,74,92,57,5,0,71.6
342,20,3,93,80,71,93,7,0,71.1
343,22,1,86,55,69,58,6,0,61.8
344,22,1,67,70,67,81,4,1,57.0
345,25,5,86,68,68,57,7,1,71.9
346,20,5,88,98,86,60,8,1,82.5
347,25,5,97,99,76,64,9,1,85.3
348,25,7,67,45,76,90,6,1,75.7
349,19,1,75,99,54,36,6,0,54.3
350,19,6,87,56,57,46,5,1,58.7
351,22,8,79,85,100,35,7,1,82.4
352,18,3,65,85,69,50,7,1,62.9
353,20,4,83,55,60,54,5,1,48.6
354,21,3,85,77,95,41,6,1,71.6
355,25,3,79,68,77,56,4,1,59.2
356,25,4,81,78,81,34,8,1,70.2
357,19,8,75,73,70,51,5,0,76.8
358,25,9,96,88,67,88,6,1,89.0
359,18,4,67,71,69,75,5,0,71.3
360,23,9,71,67,50,71,6,0,72.9
361,24,5,78,86,71,51,6,1,78.3
362,25,9,89,79,77,42,6,0,71.3
363,19,5,60,81,100,49,7,1,73.1
364,25,5,62,60,73,67,9,0,71.4
365,18,6,54,54,35,83,8,1,64.0
366,22,10,78,61,70,83,8,0,87.2
367,21,7,65,61,100,79,9,1,79.7
368,20,4,73,82,86,55,7,0,80.1
369,18,7,86,85,59,68,6,0,85.3
370,24,4,70,68,81,63,8,0,70.4
371,20,4,81,91,60,65,8,1,76.5
372,23,7,74,91,50,100,7,1,88.6
373,21,5,86,74,66,38,4,1,58.6
374,20,6,84,58,73,64,5,0,62.5
375,25,5,70,94,42,89,6,0,79.0
376,18,6,76,69,54,43,8,0,65.8
377,23,6,91,72,72,57,6,1,72.3
378,23,1,83,65,65,59,8,1,62.8
379,21,6,61,57,78,64,8,0,57.9
380,20,3,86,48,53,41,8,1,56.1
381,18,2,65,79,83,78,8,1,68.9
382,25,5,95,58,53,79,5,0,72.1
383,25,5,90,99,98,77,7,0,90.3
384,19,4,81,54,45,53,6,0,59.6
385,18,7,80,51,55,69,4,0,66.7
386,18,2,75,78,79,53,6,0,57.2
387,18,4,86,93,99,62,8,1,84.2
388,24,4,74,71,77,100,7,0,79.6
389,25,5,81,79,81,70,9,1,84.6
390,19,6,88,42,72,48,7,1,74.8
391,23,3,71,60,56,71,9,1,57.8
392,19,6,71,54,64,45,7,1,61.5
393,20,5,64,42,53,48,7,0,51.6
394,22,1,65,72,52,50,5,0,53.5
395,23,1,56,40,78,60,8,0,54.3
396,24,5,87,50,54,84,6,1,67.7
397,18,5,100,62,77,78,6,1,80.8
398,19,5,95,58,51,77,8,0,65.2
399,20,5,58,76,77,49,8,0,62.4
400,20,5,87,75,64,59,8,1,67.9
401,25,7,95,83,95,73,6,0,82.6
402,24,3,73,81,77,57,6,1,62.5
403,20,3,79,87,92,63,6,0,72.6
404,25,3,54,70,60,76,8,0,63.7
405,21,6,81,75,73,62,9,0,71.7
406,22,7,65,78,56,72,7,0,76.4
407,21,4,80,72,65,95,9,0,76.4
408,19,1,59,64,68,65,8,1,65.6
409,25,2,85,65,60,88,6,0,65.9
410,18,3,90,58,53,78,8,1,67.8
411,19,4,69,76,49,43,9,0,59.0
412,19,4,64,69,35,49,9,0,58.0
413,20,5,52,60,55,54,8,0,63.0
414,19,4,75,60,82,53,7,0,63.2
415,18,7,71,52,46,66,6,0,65.8
416,23,4,59,85,50,78,7,0,64.3
417,25,3,83,71,100,89,9,1,85.0
418,18,6,73,57,62,73,7,1,67.4
419,20,2,65,82,77,60,7,1,70.8
420,22,6,71,62,82,33,7,0,64.4
421,25,5,91,49,83,69,6,1,77.9
422,23,5,85,85,48,68,6,1,66.4
423,24,8,76,62,68,71,7,0,67.7
424,22,4,85,64,46,100,9,0,70.5
425,21,9,64,71,100,89,6,1,80.3
426,19,5,78,87,46,81,7,1,68.2
427,24,2,80,70,55,52,5,0,60.1
428,24,5,72,52,55,59,8,0,62.1
429,18,3,83,78,48,66,8,1,65.5
430,23,3,69,63,94,55,9,0,65.9
431,18,6,84,98,100,77,7,1,85.7
432,23,6,85,70,64,74,7,1,82.7
433,24,4,50,40,51,49,6,1,47.7
434,19,7,92,75,36,88,7,1,71.3
435,21,7,50,99,68,70,7,0,80.1
436,18,8,71,94,67,39,7,1,73.9
437,22,6,90,97,62,67,7,1,89.2
438,25,8,74,55,76,73,7,1,73.5
439,18,1,60,84,78,85,6,0,71.8
440,21,4,65,59,77,62,6,0,68.3
441,25,3,90,73,67,82,9,0,71.7
442,20,5,55,51,54,71,9,0,59.5
443,19,4,92,60,83,46,5,1,69.1
444,21,5,77,60,72,44,5,1,65.5
445,22,9,64,83,86,87,5,1,78.8
446,23,5,71,82,85,88,6,1,74.8
447,20,6,66,74,49,73,8,0,58.4
448,25,5,88,50,49,93,7,0,72.2
449,22,5,87,65,60,86,7,0,71.9
450,20,5,57,59,55,80,7,0,64.3
451,25,6,73,83,84,53,6,0,65.2
452,25,7,68,88,78,97,6,0,78.6
453,21,8,94,86,90,77,6,0,84.4
454,18,6,62,59,78,61,4,1,63.0
455,22,6,97,40,75,57,5,0,65.7
456,22,3,78,43,91,72,5,0,66.4
457,19,5,64,91,80,40,8,0,80.0
458,23,7,70,64,73,80,7,1,76.3
459,24,7,68,59,96,52,7,1,78.0
460,18,5,63,95,74,74,4,0,69.2
461,23,7,79,89,67,59,4,0,65.5
462,19,6,63,70,59,64,7,1,67.3
463,23,7,52,66,83,55,4,1,60.3
464,21,6,73,68,92,65,8,1,77.1
465,18,4,56,73,71,100,4,1,68.4
466,25,6,69,94,93,92,8,1,79.5
467,19,1,67,76,40,74,5,1,66.4
468,22,6,68,81,71,68,8,0,72.1
469,19,1,100,88,71,82,9,1,70.1
470,25,2,79,52,60,87,4,0,64.9
471,23,6,81,81,100,54,7,1,75.9
472,24,6,57,66,71,67,4,0,70.3
473,21,3,70,40,65,37,7,0,48.2
474,21,4,81,40,72,87,6,1,65.3
475,23,8,66,55,40,100,7,1,75.7
476,24,4,89,78,60,69,5,0,71.4
477,24,9,64,72,88,32,8,1,77.5
478,18,5,75,73,62,78,4,0,68.2
479,23,6,71,99,59,53,8,0,75.9
480,18,8,80,51,93,57,6,1,77.8
481,20,5,70,70,93,79,5,0,74.9
482,24,3,75,75,80,72,9,0,71.7
483,20,5,75,59,65,60,6,1,59.1
484,24,5,69,70,68,57,9,0,71.2
485,21,2,84,46,59,70,8,0,60.5
486,19,4,81,91,56,61,5,0,66.0
487,20,4,77,60,55,49,6,1,65.9
488,22,7,73,99,62,62,7,0,70.7
489,24,5,88,70,55,74,9,0,80.2
490,22,4,75,85,47,65,7,1,68.3
491,25,5,74,69,76,44,7,0,67.1
492,24,5,79,70,76,85,6,0,72.9
493,24,6,98,61,99,21,6,1,61.4
494,22,3,62,72,61,60,8,1,63.6
495,20,3,87,75,77,57,7,0,69.9
496,21,7,55,58,77,71,6,1,73.6
497,18,4,81,68,68,78,6,1,70.3
498,20,2,97,61,84,87,6,0,62.0
499,25,6,84,99,84,56,5,1,72.2
500,21,6,80,69,77,78,5,1,84.7
501,18,2,71,93,68,71,9,1,68.2
502,23,5,78,67,66,39,6,1,69.8
503,25,6,75,74,50,100,7,1,73.6
504,24,6,69,50,59,44,4,1,57.1
505,20,6,75,63,62,75,7,1,74.9
506,21,2,80,73,54,75,6,1,61.7
507,22,6,69,94,79,73,6,1,86.8
508,19,4,68,73,91,60,7,1,71.9
509,20,4,62,91,57,82,6,1,74.4
510,19,7,83,80,77,41,4,0,68.3
511,25,8,85,94,55,67,8,0,83.4
512,23,9,81,69,67,58,7,1,84.0
513,24,8,90,99,61,56,6,0,78.4
514,24,5,79,63,82,75,5,1,80.3
515,25,6,83,59,61,86,4,1,68.9
516,18,7,82,52,88,62,7,1,77.8
517,25,5,77,99,68,81,9,0,83.6
518,18,5,72,82,62,69,7,1,67.9
519,21,7,100,65,52,53,5,0,68.9
520,22,5,73,89,76,64,7,1,75.8
521,20,4,70,80,86,63,6,0,66.8
522,19,4,83,99,76,56,8,1,78.5
523,19,6,81,47,100,75,7,1,76.9
524,24,5,61,66,95,72,4,1,70.8
525,20,6,91,63,67,41,7,1,67.6
526,20,6,77,40,67,40,5,0,56.6
527,25,4,65,86,80,75,5,0,70.1
528,19,7,92,66,59,54,6,0,70.0
529,25,6,86,81,91,73,7,1,79.6
530,25,3,63,99,78,81,4,1,85.9
531,22,8,99,65,76,46,7,0,68.0
532,19,4,86,64,83,44,8,0,64.2
533,19,2,78,72,100,96,7,0,75.0
534,20,3,97,85,75,74,5,1,84.1
535,22,3,80,61,70,61,5,0,55.9
536,19,5,78,61,96,52,8,0,72.8
537,21,4,70,86,87,59,4,0,70.4
538,18,4,85,76,67,48,8,0,68.8
539,22,6,84,40,72,83,6,0,75.0
540,18,6,78,52,75,55,6,0,71.0
541,23,6,69,93,78,87,4,1,78.3
542,18,6,80,76,50,61,6,1,70.3
543,19,6,77,59,47,50,7,0,53.4
544,19,1,62,67,58,61,5,1,56.6
545,24,4,60,70,57,23,7,0,50.3
546,18,1,85,81,62,66,7,1,65.7
547,21,5,50,50,82,65,6,1,56.5
548,22,5,80,57,69,82,8,0,73.8
549,22,7,72,74,75,36,4,1,59.0
550,23,7,94,69,52,88,7,1,79.8
551,24,5,72,79,65,82,9,1,71.9
552,21,4,86,52,81,89,9,0,70.9
553,24,6,73,75,82,67,7,0,79.9
554,20,4,79,86,60,85,6,0,76.1
555,25,5,87,77,75,43,6,1,74.6
556,22,7,72,72,100,80,6,1,89.4
557,23,4,90,69,72,55,7,0,64.5
558,25,7,66,57,61,40,5,1,68.1
559,24,6,82,69,69,49,8,0,62.9
560,24,3,89,89,73,68,9,0,78.8
561,22,7,86,68,70,54,6,1,70.2
562,18,6,100,57,71,74,5,1,69.7
563,21,5,69,63,49,37,5,1,59.4
564,19,3,61,73,57,32,8,1,61.7
565,25,3,66,64,70,91,6,1,73.6
566,19,4,86,77,69,83,8,1,78.2
567,19,6,84,78,63,50,6,0,69.5
568,19,3,79,83,69,68,8,1,74.8
569,23,6,65,91,73,85,6,1,81.3
570,22,3,87,85,86,75,5,0,76.6
571,25,5,63,56,70,71,6,0,65.9
572,21,5,92,56,78,87,5,0,77.1
573,20,10,100,69,63,56,9,0,73.5
574,18,2,82,63,81,69,6,1,66.4
575,18,8,85,53,78,68,7,0,68.6
576,20,5,72,63,86,63,6,1,71.7
577,25,6,56,63,83,61,5,0,73.8
578,22,5,71,60,81,69,6,0,66.5
579,25,6,65,65,70,69,8,0,71.2
580,18,5,61,88,76,50,6,0,71.6
581,18,8,99,73,89,82,5,1,76.6
582,24,4,81,99,62,51,7,0,68.2
583,18,7,83,73,62,64,7,0,75.0
584,18,4,74,66,75,63,9,0,56.1
585,21,5,76,70,79,74,7,0,68.9
586,25,3,90,74,59,32,7,1,66.3
587,23,6,78,77,71,83,8,1,84.5
588,18,8,84,99,70,56,5,0,80.4
589,24,5,76,57,37,89,5,1,69.6
590,24,5,74,83,68,60,5,0,69.8
591,24,3,61,73,69,67,5,1,66.8
592,25,5,54,46,69,100,8,1,69.7
593,19,2,75,82,95,63,7,0,71.4
594,25,3,79,89,53,89,7,1,71.6
595,20,5,63,57,59,69,4,1,68.0
596,24,8,78,70,30,75,9,0,79.2
597,22,10,79,44,64,69,5,1,78.9
598,24,4,52,51,66,82,9,1,64.8
599,23,8,67,86,64,56,4,0,66.9
600,23,5,83,63,90,51,5,1,75.0
601,22,5,83,53,86,57,4,1,69.1
602,24,6,64,73,73,70,7,1,75.0
603,23,5,80,62,66,64,5,1,64.2
604,19,5,90,63,88,80,5,1,78.2
605,24,4,87,81,72,90,5,1,72.4
606,22,2,77,53,59,51,8,1,61.0
607,20,2,72,56,45,56,7,0,60.3
608,22,6,70,72,65,44,9,0,74.9
609,25,4,84,85,84,100,6,1,86.3
610,24,4,80,89,100,73,7,1,75.1
611,24,5,86,60,73,76,5,0,70.8
612,21,7,80,84,60,45,6,1,80.9
613,24,5,88,58,53,68,6,1,63.1
614,21,4,79,97,81,77,7,1,80.1
615,23,7,87,53,44,64,8,0,73.7
616,23,8,88,90,81,86,8,1,93.2
617,19,6,68,60,85,100,5,0,87.7
618,20,7,56,99,79,52,8,0,73.1
619,18,7,97,79,68,51,6,1,71.0
620,19,7,81,55,81,53,6,1,76.1
621,21,6,57,62,75,95,6,0,68.0
622,21,6,69,82,60,86,6,1,75.5
623,19,6,87,86,100,66,9,1,85.5
624,21,3,75,69,66,69,7,0,70.6
625,22,6,72,71,84,54,7,0,74.0
626,19,2,95,81,33,83,6,1,69.4
627,20,3,65,72,92,62,9,1,69.9
628,20,8,68,51,96,64,8,0,80.6
629,22,7,81,58,72,78,5,1,92.2
630,20,8,83,74,81,65,6,1,82.6
631,23,4,84,88,81,64,6,1,75.8
632,20,3,89,94,62,68,7,1,68.2
